Symbol,NAME OF COMPANY, SERIES, SERIES, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,1,INE769A01020,5
ABB,ABB India Limited,EQ,08-Feb-95,2,1,INE117A01022,2
AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-95,2,1,INE606A01024,2
ARVIND,Arvind Limited,EQ,08-Feb-95,10,1,INE034A01011,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-95,1,1,INE119A01028,1
CESC,CESC Limited,EQ,08-Feb-95,1,1,INE486A01021,1
CIPLA,Cipla Limited,EQ,08-Feb-95,2,1,INE059A01026,2
EIHOTEL,EIH Limited,EQ,08-Feb-95,2,1,INE230A01023,2
FEDERALBNK,The Federal Bank  Limited,EQ,08-Feb-95,2,1,INE171A01029,2
FINPIPE,Finolex Industries Limited,EQ,08-Feb-95,2,1,INE183A01024,2
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-95,10,1,INE529A01010,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-Feb-95,10,1,INE162A01010,10
GLFL,Gujarat Lease Financing Limited,EQ,08-Feb-95,10,1,INE540A01017,10
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-Feb-95,10,1,INE544A01019,10
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-Feb-95,5,1,INE049A01027,5
INFY,Infosys Limited,EQ,08-Feb-95,5,1,INE009A01021,5
IPCALAB,IPCA Laboratories Limited,EQ,08-Feb-95,1,1,INE571A01038,1
KSB,Ksb Limited,EQ,08-Feb-95,2,1,INE999A01023,2
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-Feb-95,10,1,INE288A01013,10
MARALOVER,Maral Overseas Limited,EQ,08-Feb-95,10,1,INE882A01013,10
NAVNETEDUL,Navneet Education Limited,EQ,08-Feb-95,2,1,INE060A01024,2
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-Feb-95,1,1,INE044A01036,1
VINDHYATEL,Vindhya Telelinks Limited,EQ,08-Feb-95,10,1,INE707A01012,10
WILLAMAGOR,Williamson Magor & Company Limited,EQ,08-Feb-95,10,1,INE210A01017,10
FINCABLES,Finolex Cables Limited,EQ,15-Feb-95,2,1,INE235A01022,2
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-Feb-95,5,1,INE364A01020,5
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-Mar-95,2,1,INE067A01029,2
ESCORTS,Escorts Kubota Limited,EQ,01-Mar-95,10,1,INE042A01014,10
KEEPLEARN,DSJ Keep Learning Limited,EQ,01-Mar-95,1,1,INE055C01020,1
SBIN,State Bank of India,EQ,01-Mar-95,1,1,INE062A01020,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10,1,INE118A01012,10
HEIDELBERG,HeidelbergCement India Limited,EQ,15-Mar-95,10,1,INE578A01017,10
CUMMINSIND,Cummins India Limited,EQ,29-Mar-95,2,1,INE298A01020,2
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-Mar-95,10,1,INE041A01016,10
GTL,GTL Limited,EQ,29-Mar-95,10,1,INE043A01012,10
IFBIND,IFB Industries Limited,EQ,29-Mar-95,10,1,INE559A01017,10
LMW,LMW Limited,EQ,29-Mar-95,10,1,INE269B01029,10
ORIENTPPR,Orient Paper & Industries Limited,EQ,29-Mar-95,1,1,INE592A01026,1
OSWALAGRO,Oswal Agro Mills Limited,EQ,29-Mar-95,10,1,INE142A01012,10
PCBL,PCBL Chemical Limited,EQ,29-Mar-95,1,1,INE602A01031,1
PIDILITIND,Pidilite Industries Limited,EQ,29-Mar-95,1,1,INE318A01026,1
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,29-Mar-95,10,1,INE562B01019,10
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-Mar-95,2,1,INE630A01024,2
STYRENIX,Styrenix Performance Materials Limited,EQ,29-Mar-95,10,1,INE189B01011,10
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-95,10,1,INE340A01012,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-Apr-95,2,1,INE499A01024,2
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-95,10,1,INE188A01015,10
TATACOMM,Tata Communications Limited,EQ,12-Apr-95,10,1,INE151A01013,10
VOLTAS,Voltas Limited,EQ,12-Apr-95,1,1,INE226A01021,1
